Arabic Sentence,English Sentence
اكتر حاجه بتعجبه هناك لما الحراس بيسمحوله انه يوكل الحيوانات بايده.,So we should have a vision.
بالنسبه لابنى الصغير سلمان، كانت اول مره يروح و هو مدرك.,We should think about the message we came to this earth to fulfill.
فا بالتالى الموضوع كان بالنسبه له مبهر جداً.,"""When we are young, it’s really easy to fall prey to the idea of wasting our time doing useless stuff and saying that we’re young and we still have a long time ahead of us."""
حمزه بقى المره دى كان مركز معايا فى الاتجاهات و بيقرا معايا الخريطه.,So we postpone taking necessary decisions.
مثلاً كان عايز يشوف الكانجارو.,This is wrong.
و قدر ان هو يلاقيه عن طريق ان احنا اتبعنا ارشادات الخريطه.,My perspective regarding time changed.
من ضمن الحاجات اللطيفه اللى شفناها كان البحيره بتاعه البط.,I’ve become really appreciative of every second of every day and am trying to make use of it.
و لما بيطلعوا من البحيره بنشوفهم ماشيين ورا بعض، زى ما بيقولوا عليه طابور البط.,My father always tells me that “with every tribulation you face comes a disguised gift”.
كان شكلهم ظريف اوى.,"""I know there is nothing in the world that would compensate for the death of a friend, but I’ll regard the lesson I’ve learned as the disguised gift!"""
و طبعاً الاساسى ان احنا بندور على الاسد.,Hello!
و الاولاد يقعدوا يقلدوا صوته.,"""Last Saturday, my older son Hamza woke me up, and said to me, “Mom, take me to the zoo."""
انا لاحظت انه الاسد كان عمال يلف جوه القفص بتاعه.,"""” I had taken him there twice before, And ever since then, he’s been attached to the place."""
يعنى كان احساسى انه هو منزعج.,And he always asks me to take him there.
و بظن انه منزعج من الحبس.,The thing that he likes the most there is when the zookeepers let him feed the animals by hand.
بصراحه هو فكره انه الاطفال يقدروا يشوفوا الحيوانات و يتعاملوا معاهم.,"""For my younger son Salman, it was his first time to go while being aware."""
هى فكره لطيفه و مسليه للاطفال.,So it was so amazing for him.
بس فى نفس الوقت ان احنا نحرم الحيوانات اللى طبيعتها انها تعيش بحريه فى الغابه و الاماكن المفتوحه… نحرمهم من الحريه دى ده شيء يعنى مش كويس.,This time Hamza was concentrating with me on directions and reading the map with me.
بتخيل انه لو اى حد فينا مكانهم هيبقى حزين جداً.,"""For example, he wanted to see the kangaroo."""
يعنى بشوف انه ممكن نعمل مزرعه فيها حيوانات داجنه و اليفه.,He was able to find the way by following the map directions.
الاطفال يستمتعوا و يشوفوا الحيوانات و يلاعبوهم و يوكلوهم، و فى نفس الوقت الحيوانات دى متعوده ان هى تعيش فى اماكن زى المزرعه.,One of the nice things we saw was the duck pond.
انما الحيوانات اللى عايشه فى الغابه و متعوده على الحريه، احنا منحرمهاش من ده.,"""And when they came out of the lake, we saw them walking single file, [or] as they call it, “in a duck row."""
لانه يعنى آدميتنا تخلينا منبقاش انانيين تجاه بقية المخلوقات.,” They looked so funny.
بتمنى فى يوم من الايام انى اخد ابنى لمزرعة الحيوانات بدل جنينة الحيوانات.,"""And of course, the main target was to look for the lion."""
و بتمنىالكم دايماً رحلات لطيفه.,And the boys started to mimic its roaring.
شكراً.,I noticed that the lion kept turning around in his cage.
بعد اسبوع مجهد و متعب فى الكليه قررت انا و صحابى ان احنا نخرج نتفسح و نشم نفسنا شويه قبل ما نخش على الامتحانات.,I felt like it was upset.
قعدنا نفكر هنخرج فين لحد ما واحد صاحبى قال: انا هعملكو مفاجأه، هنروح مكان اول مره نروحه.,And I guess it was upset for being confined.
كلنا اصرينا ان احنا نعرف ايه هو المكان ده لحد ما قالنا شارع المعز.,"""Frankly, the idea of letting the kids see and interact with the animals is nice and fun for the kids."""
الاسم كان غريب بالنسبه لى و كان اول مره اسمع عنه.,"""But at the same time, depriving animals that are used to living freely in the jungle and open spaces… depriving them of their freedom isn’t good."""
المهم جهزنا نفسنا و جه يوم الخميس.,"""I imagine if any (one) of us was in their situation, he’d be so sad."""
خلصنا الكليه و ركبنا المترو.,"""So… I think we could make a farm with domestic and tame animals, where kids can enjoy seeing, playing with, and feeding the animals while these animals are already used to living in places like farms."""
المشوار كان طويل شويه، بس المكان كان جميل جداً.,"""But the animals living in the jungle and used to freedom, we won’t be depriving them of this."""
من اول الشارع بتلاقى باب اثرى اسمه باب النصر ضخم جداً و شكله جميل.,Because our humanity should prevent us from being selfish toward other creatures.
المكان كان كله تراث و اثار اسلامى.,I hope one day I’ll [be able to] take my son to the animal farm instead of the zoo.
و من اجمل الجوامع هناك جامع الحاكم بأمر الله.,And I wish you all nice trips.
دخلنا الجامع ده.,Thanks.
الساحه بتاعته جميله جداً مليانه حمام و قناديل و عمدان.,"""After a difficult and exhausting week at college, my friends and I decided to go out and have some fun before the exams start."""
شكلها جميل جداً و برضه كان فيه حاجه زى نافوره.,"""We kept thinking about where we should go until one of my friends said, “I’ll surprise you by going to a place that we have never gone before."""
بس معجبتنيش اوى.,"""” We insisted on knowing the place, so he told us Muizz Street."""
صلينا العصر هناك.,"""The name was a little strange for me and it was the first time to hear about it Anyway, we got ready."""
و قعدنا نتصور و نصور المكان.,It was Thursday.
و بعد كده دخلنا كذا جامع تانى.,We finished school and took the subway.
كانوا كويسين بس مش زى جامع الحاكم.,"""It was a bit of a long journey, but the place was amazing."""
المكان فى المجمل رائع، بس كان فيه شوية سلبيات زى ان نضافة الشارع مش اوى بالنسبه لمكان اثرى.,"""At the beginning of the street, you can see an enormous, historical gate called Nasr Gate, and it looks so nice."""
كمان مفيش حاجه بتحكى عن كل مكان، زى مثلاً اتبنى ليه و امتى و الحاجات دى.,The whole place was full of Islamic heritage and monuments.
بس زى ما قلت المكان تحف، و فيه ناس كتير فى مصر مش عارفه.,And the most beautiful mosque there is a mosque called Al-Hakim bi-Amr Allah.
لازم يفكروا يزوروه فى اقرب فرصه.,We went into that mosque.
سبايدر مان المصرى… ده اسم واحده من الصفحات اللى اشتهرت فى الفتره الاخيره على الفيس بوك.,"""Its courtyard is fabulous, full of pigeons, lanterns, and columns."""
صاحبها شاب مصرى جميل اسمه عاطف.,They looked so nice.
قرر انه يلبس الزى بتاع سبايدر مان و يحاول يرسم البسمه على وشوش الناس.,"""Also, there was something like a fountain, but I didn’t like it so much."""
بينزل للشوارع و الاماكن العامه.,We performed the afternoon prayers there.
و تحديداً اماكن تجمعات الاطفال زى المدارس.,And we kept taking photos of ourselves and of the place.
و بيتصور مع الناس و الاطفال.,"""After that, we went into some other mosques."""
و احياناً بيوزع عليهم هدايا من غير مقابل.,"""They were nice, but not like the Al-Hakim Mosque."""
على صفحته بيحط صوره مع الناس اللى قابلهم.,"""The whole street was fantastic, but there were some negatives, as the street was not that clean for a historic place."""
او بيحط صور كوميديه ليه بتعبر بطريقه ظريفه عن معاناة الحياه اليوميه فى مصر.,"""And also there was nothing to tell about the places, like why they were built and when, and things like that."""
زى مثلاً زحمه المترو او الجرى ورا اتوبيسات النقل العام!,"""But as I said, the place is amazing."""
من غير ما يكتب حاجه، صوره بتكون معبره اكتر من الف كلمه… و بتدحك!,And many people in Egypt don’t know about it.
اللى فكرنى بيه ان الاسبوع ده هتبدأ الجوله التانيه من الانتخابات البرلمانيه فى مصر (انتخابات مجلس الشعب).,They should think about visiting at the earliest opportunity.
و كنت قاعد فى يوم على الفيس بوك، من حوالى شهر كده، ايام ما كانت الجوله الاولى من الانتخابات شغاله.,Egyptian Spiderman… This is the name of a page that got famous recently on Facebook.
و شفت بوست ظريف جداً على صفحته.,"""Its owner is a nice, young Egyptian man called Atef."""
البوست كان عباره عن ان سبايدر مان قرر يدخل انتخابات البرلمان!,He decided to wear the costume of Spiderman and try to draw a smile on people’s faces.
نزل سبايدر مان الشارع، و عمل حمله انتخابيه جامده جداً.,"""He goes down streets and to public places, and especially places where children gather, like schools."""
و لم حواليه اهل حتته، و اتصور معاهم صور كتير، و عمل فيديوهات حلوه اوى عن الحمله الانتخابيه.,And he takes pictures with people and children.
و علشان انا على نياتى شويه صدقت بجد انه ممكن يدخل البرلمان و فرحت جداً.,And sometimes he passes out gifts to them with nothing in return.
و خصوصاً ان رأيى السياسى مش مع البرلمان الجاى ده اوى.,"""On his page, he puts his pictures with people he’s met."""
او بمعنى اصح، مش مع البرلمان الجاى ده خالص!,Or he puts comedic pictures of himself that express in a funny way the struggle of daily life in Egypt.
طلع الموضوع مجرد هزار.,"""Like for example, how crowded the subway is, or running after public transportation buses!"""
بس كنت اتمنى ينزل الانتخابات فعلاً، و كنت هنزل انتخبه اكيد.,"""Without writing anything, his pictures are more expressive than a thousand words… and make you laugh!"""
لان الوضع السياسى فى مصر دلوقتى مش اكتر من نكته كبيره!,What reminded me of him is that this week the second round of parliamentary elections (Elections for the People’s Council) in Egypt will begin.
و يمكن البرلمان مع سبايدر مان مكانش هيعمل حاجه للناس برضه، لان ايد لوحدها متسقفش.,"""And I was sitting one day on Facebook, about a month ago, back when the first round of the elections was running."""
بس ع الاقل كان هيكون دمه خفيف شويه!,And I saw a very funny post on his page.
اللى انتو شايفينها قدامكو دى فى الصوره عربيتى القديمه، بعد ما طلعت من حادثه رهيبه انا و صحابى.,The post was about Spiderman deciding to enter the elections for Parliament!
الحادثه دى حصلت و كان راكب معايا كل صحابى و رايحين نشترى شوية حاجات نقصانه قبل ما نطلع رحله كنا مخططينها.,"""Spiderman went down the street, and he made a very powerful election campaign."""
الظريف فى الموضوع ان انا ده كان تالت مره ليا اسوق فيها!,"""He gathered the people of his neighborhood around him, and he took a lot of pictures with them, and made very funny videos about the election campaign."""
اللى حصل ببساطه شديده ان انا كنت ماشى بسرعه كبيره و كنت نازل من نزلايه من غير ما اهدى.,"""And because I’m a bit naive, I really believed that he might get into Parliament, and I got really happy."""
و كمان كنت بحاول اعدى من عربيه من على يمينها، فا فجأه لقيت تاكسى واقف بينزل واحد.,And especially because my political opinion doesn’t support this coming Parliament much.
فا حودت تانى شمال و ساعتها فقدت السيطره.,"""Or more correctly, it does not support this coming parliament at all!"""
العربيه بقت عامله زى الغساله مره واحده و عماله تروح يمين و شمال.,It turned out to be just a joke.
و مره واحده راحت طالعه فوق السور و ماشيه بجنبها لحد ما خبطت فى عمود نور و رحت نازل على التاكسى اللى كان واقف.,"""But I was hoping that he was really going to be in the elections, and I was going to vote for him, of course."""
و المصيبه ان كان فيه واحد نازل منه و بيحاسب طيرته من غير ما ياخد باله.,Because the political situation in Egypt now is nothing more than a big joke!
الحمد لله الحادثه دى كان ممكن نموت فيها كلنا، بس ربنا كان رحيم بينا و محدش حصله حاجه، غير واحد من صحابى لما شاف عمود النور جاى عليه بسرعه حط ايده على الازاز فا اتعور.,"""And maybe the Parliament with Spiderman wouldn’t do things for the people, either, because one hand cannot clap."""
(بس ده بسبب غبائه، انا مليش دعوه.,But at least it would have been a bit funny!
) نصيحتى لكل الناس اللى بتسوق بسرعه، ارجوكم خلى بالكو على حياتكو و على حياة الناس اللى بتركب معاكو.,What you see in front of you in this picture is my old car after my friends and I got into a terrible accident.
بما انى من اسيوط، و دى مدينه صغيره بامكانيات صغيره مقارنة بالقاهره اللى هى عاصمة مصر، عشان كده القاهره بتعنيلى مدينة الاحلام.,"""The accident happened while all my friends were riding with me, going to buy some stuff we needed before we set out on a trip we had been planning."""
من فتره واحد من احلامى دى اتحقق، و هو كان انى ازور برج القاهره.,The funny thing is that this was [just] the third time for me behind the wheel!
تخيل كده انك بتشوف المدينه الكبيره كلها من على ارتفاع ميه سبعه و تمانين متر، و ده بيساوى تقريباً تسعين دور!,What happened simply is that I was driving too fast and was going past a ramp and I did not slowdown in addition to that I was trying to get past a car from its right when suddenly I saw a taxi dropping someone off right in front of me.
واو!,So I veered left again and lost control.
فيه جمال كده؟,"""Suddenly, it was like the car had turned into a washing machine, and kept kept going right and left."""
و فى الواقع، الحقيقه مكانتش اقل جمالاً ابداً عن التخيل.,And suddenly it jumped up onto the fence and moved along it until it hit a street light and I crashed into the taxi that had stopped.
كان منظر رائع، مش ممكن يتوصف ابداً.,The worst part is that there was someone getting out of it and paying the fare who I sent flying before he knew what was happening.
لازم تشوفه بس!,Thank God!
قبل ما اطلع البرج، تحت كان فيه زى شجره ضخمه ليها افرع كبيره نازله منها.,We all could have died in this accident.
كان باين انها فى المكان ده ليها آلاف السنين.,"""But God was merciful toward us and nothing happened to anyone, except for one of my friends."""
كنت مشدودالها تماماً.,"""When he saw the street light fast approaching, he put his hand against the glass and hurt it."""
و بالرغم من انها كانت مبهره بس كانت مخيفه شويه.,(But that was his foolishness; I had nothing to do with it.
لزقت فى دماغى من ساعتها و فضلت مرتبطه دايماً بالزياره دى.,) My advice to everyone who drives fast: Please take care with your life and the lives of the people riding with you.
فى قمة البرج، كان فيه شوية منظارات “تليسكوبات” للناس اللى حابه انها تبص بنظره اقرب.,"""Since I’m from Asyut, which is a small city with small facilities compared to Cairo, which is the capital city of Egypt, so, Cairo means to me “The City Of Dreams”."""
حجزت تذكره و استخدمت واحد.,"""A while back, one of my dreams came true, which was to visit Cairo Tower."""
المنظر كان اقرب شويه، بس طبعاً مقدرتش اشوف كل التفاصيل.,"""Imagine that you are seeing the whole big city at an altitude of 187 meters, which is equivalent to almost 90 floors!"""
بس انا حسيت انى شفت كل حاجه او تخيلت، مش عارفه اوى.,Wow!
شفت ناس واقفه فى طابور عشان تشترى عيش.,What beauty!
و شوية عيال صغيره طالعين من مدارسهم بيجروا ورا بعضهم.,And actually the reality wasn’t less beautiful than the imagination.
شفت ولد و بنت ماسكين ايد بعضهم و فيه ابتسامه حلوه مرسومه على شفايفهم.,It was such an amazing view that can’t be described.
فوق هناك، انا اخدت نفسى كانى ماخدتوش قبل كده خالص.,You just have to see it!
و ساعتها حسيت فعلاً بالسلام الداخلى.,"""Before I went up the tower, downstairs there was something like a giant tree with huge pendulous branches."""
اهلاً بيكم.,It looked like it had been in that place for thousands of years.
الدنيا مطرت امبارح.,I was totally fixated on it.
طول الليل سامعينها بتمطر.,"""And although it was impressive, it was kind of scary."""
صحينا الصبح، لاقينا الشوارع غرقانه.,It’s been stuck in my mind since then and has always remained connected to this visit.
اخدت وقت طويل جداً الصبح عشان آخد قرار ان احنا ننزل شغلنا و انزل الولاد المدرسه.,"""At the top of the tower, there were several telescopes for people who wanted to take a closer look."""
للاسف اصبح نزول المطر عندنا بيسبب ازمه و حالة فوضى عامه فى الشوارع.,I booked a ticket and used one.
و ممكن كمان لا قدر الله تحصل حوادث عربيات احنا مكناش كده.,"""The view was much closer, but of course, I couldn’t see all the details."""
لكن واضح انه مع تغير حالة الطقس عامة على مستوى العالم، فا حصل تغييرات فى شكل الحاله الجويه فى مصر.,"""But I felt that I saw everything or imagined [I did], I don’t really know."""
يعنى احنا زمان كنا نعرف انه مصر جوها معتدل فى الصيف و دافى فى الشتا.,"""I saw people standing in line to buy bread, and few kids coming out of their school running after each other."""
انما حالياً اصبح الصيف شديد الحراره و الرطوبه، و اصبح الشتا شديد البروده.,"""I saw a boy and girl holding each other’s hands, with lovely smiles drawn on their faces."""
و الامطار لما بتحصل بتكون تقيله جداً، و بتتكرر كتير.,"""Up there, I took a breath as if I had never breathed before."""
و برضه احنا عشان مش معتادين على ده، فا شوارعنا مبتبقاش مستعده لاستقبال كميات المطر دى.,"""And at that moment, I really felt inner peace."""
بس خلينى ابص للجانب المشرق.,Hello!
برضه نزول المطر بينضف الدنيا.,It rained yesterday.
بحس انه الشجر لونه زاهى، المبانى بتكون نضيفه.,All night we could hear it raining.
الشوارع لو مفيهاش برك ميه فا بتكون برضه نضفت.,We got up in the morning and found the streets drenched.
هو عامة حالة الجو اصبحت مختلفه عن زمان كتير.,It took me a very long time this morning to decide to go to work and let the kids go to school.
و لو برضه هنبص للجانب المشرق، هنلاقى انه لو جنبنا شهر اغسطس اللى بيكون الجو فيه حار جداً، و الايام اللى بيحصل فيها المطر الشديد فى الشتا، هنلاقى انه جو مصر يظل من الاجواء الجميله جداً.,"""Unfortunately, rainfall has come to cause a crisis here and general chaos in the streets."""
اللى ممكن الواحد يستمتع فيها بالخروج فى اى وقت.,"""And car accidents may happen too, God forbid."""
شكراً.,It wasn’t like this before.
اهلاً بيكم.,"""But apparently, with global climate change, the weather in Egypt has changed."""
الاعياد فى مصر دايماً مواسم للافراح.,"""Previously, we thought that Egypt’s weather was mild in the summer and warm in the winter."""
انا فى عيد الاضحى اللى فات كنت معزومه على تلات افراح.,"""But now summer has become extremely hot and humid, and winter has become extremely cold."""
انا بحب الافراح جداً.,And the rain has become heavy and this happens over and over.
بس بييجيلى صداع من التفكير: هلبس ايه و انا رايحه الفرح؟,"""Also, because we are not used to this, the streets here are not well prepared to consume this much water."""
و معنديش وقت ان انا اقعد ادور على اللبس المناسب.,But let me look at the bright side: Rain cleans everything.
بصراحه فيه فرحين من اللى كنت هحضرهم مريحينى كانوا جداً لانهم افراح سودانيه.,"""I feel the trees are greener, the buildings are cleaner."""
الفرح السودانى بيبقى مسموحلى ان انا البس فيه الزى التقليدى للمراه السودانيه و هو التوب.,"""If the streets didn’t have puddles on them, they’d also be clean."""
التوب ده عباره عن قطعة قماش طويله حوالى تلاته متر و بتكون مشغوله مطرزه.,"""Overall, the weather became so different from how it used to be."""
و لونها بيكون يعنى لون زاهى اوى.,"""But, again, looking at the bright side, we’ll find, if we put aside August with its very hot weather and the days with the heavy rain in the winter, we can still find that the weather in Egypt is quite nice, so that one can enjoy going out anytime."""
بتتلف على الجسم بطريقه معينه.,Thanks!
و خلاص هى دى بتبقى اللبس اللى بروح بيه الفرح.,Hello!
طبعاً حاجه سهله و بسيطه و فى نفس الوقت فى منتهى الشياكه.,"""In Egypt, the holidays are always the season for weddings."""
الفرح السودانى انا بحضره لانى انا متجوزه راجل سودانى.,During the last Sacrifice Feast I was invited to three weddings.
افراح العايله عنده كلها كده.,I like weddings so much.
دايماً الفرح ده بيتسم بتفاصيل جميله اوى.,"""But I get a headache from thinking, “What shall I wear to the wedding?"""
اولاً هما عندهم يوم العقد، بعد ما بيكتبوا وثيقة الزواج.,” And I don’t have time to be looking for a suitable dress to wear.
بيروحوا على بيت العروسه يعملوا احتفال جميل.,"""But frankly, there were two weddings I was going to go to which were a relief to me because they were Sudanese weddings."""
العريس بيقدم فيه المهر و الهدايا والعطور للعروسه.,"""In a Sudanese wedding, I’m allowed to wear the traditional costume of the Sudanese woman, which is “toob” This toob is a long piece of fabric, approximately three meters long and embroidered."""
بيكون يوم لطيف فى بيتها.,And its color is so bright.
بعد كده بيتعمل يوم تانى اسمه ليلة الحنه.,It is wrapped around the body in a certain way.
ده بقى بيبقى مرهق اوى للعروسه.,And that’s it!
العروسه فيه بتبدل حوالى توبين، تلاته، اربعه.,That’s the outfit I’ll go to the wedding in.
كل توب بترقص رقصه و بعدين تغير و تلبس اللى بعده.,"""So easy, so simple, and at the same time so chic!"""
بس بيبقى يوم جميل.,I go to these Sudanese weddings because I’m married to a Sudanese man.
القاعه بتكون مليانه بخور والسيدات كلهم لابسين التياب المطرزه.,And all his family’s weddings are like this.
المكان بيكون فى منتهى الروعه.,These weddings are always known for their very nice details.
يوم الفرح بقى بيبقى اللبس العادى بدله و فستان فرح.,"""First of all, they have the agreement day, after they write the marriage document They go to the bride’s home and have a beautiful celebration."""
لكن برضه السيدات بيكونوا لابسين التوب السوداني.,"""The groom gives her a dowry, gifts, and perfumes."""
انا فى الفرح اللى رحته لبست توب ازرق كان مطرز باللولى.,It’s a very nice day at her house.
و الحمد لله حاز على اعجاب اللى شافونى بيه.,"""After that, there’s another day called the “night of henna”."""
و من ساعة ما رجعنا من الفرح انا و ابنى حمزه بنردد الجمله اللى كان بيقولها المغنى: ابشر يا عريس ابشر.,And this is very exhausting for the bride.
هو الفرح السودانى حاجه جميله جداً.,"""The bride changes into two, three, or four toobs."""
و اتمنى انه تتاحلكو كلكو فرصه تحضروا فيها فرح سودانى.,"""She dances a dance in a toob, then she changes [clothes], and goes for another dance."""
شكراً.,But it is a lovely day.
من صغرى و انا بحب الرسم و القرايه اوى.,"""The hall is full of incense, and the ladies are all wearing the embroidered toob."""
و بعتبرهم هواياتى المفضله.,The place becomes incredibly fabulous.
اول مره ارسم كانت من زمان جدا لما كان عندى اربع سنين.,"""Then, on the wedding day itself, the clothes [of the groom and bride] are an ordinary suit and wedding dress."""
ايامها رسمى كان عباره عن شوية خطوط عشوائيه مش مفهومه.,But the ladies are also wearing the Sudanese toob.
و بعد ما كبرت شويه و ظهر حبى الشديد للرسم بقيت برسم حاجات اوضح شويه، يعنى: مثلا ورده، عربيه، الشمس، شجره، ناس، بيوت.,"""In that last wedding I attended, I wore a blue toob embroidered with pearls."""
ماما و بابا بعد ما ظهرلهم حبى للرسم شجعونى جدا، وجابولى الوان و ورق علشان ارسم عليه.,"""And thank God, it gained the admiration of everyone who saw me wearing it."""
و كانوا لما ارسم اى حاجه يقولولى “برافوا عليكى”.,"""And ever since we came from that wedding, I keep singing with my son Hamza the phrase that the singer was saying, “Cheer up, oh groom, cheer up!"""
كبرت و كبرت معايا هواية الرسم.,” The Sudanese wedding is a very lovely thing.
كنت عايزه احسن مهارتى فى الرسم.,And I hope that you all have a chance to attend one.
فا بقيت برسم كتيركنوع من انواع التمرين، و فعلا رسمى بقى احسن كتير.,Thank you!
بصراحه انا اتبسطت جدا علشان تعبى جاب نتيجه، و حسيت ان فعلا الواحد يقدر يحقق اى حاجه طالما انه عنده امل و بيحاول مره و اتنين و تلاته من غير ياس.,.
خلينا بقى نتكلم شويه عن هواية القرايه.,I have been in love with drawing and reading since I was little.
الهوايه دى بدأت معايا متأخر شويه عن هواية الرسم.,And I consider them my favorite hobbies.
بدأت و انا عندى ١١ سنه.,The first time I drew was long ago when I was four years old.
وقتها كنت بروح المكتبه بتاعة المدرسه علشان اقرا القصص و الحواديت.,"""Back then, I was drawing random lines with no meaning."""
بس لما كبرت، بدأت اقرا فى مجالات اكتر.,"""And after I got a little older and my passion for drawing had appeared, I started drawing things more clearly, you know — for example, a flower, a car, the sun, a tree, people, houses."""
فا مثلا كنت بقرا كتب علميه و تاريخيه و دينيه و احيانا كتب فلسفيه، و كمان بقرا روايات بوليسيه و روايات الخيال العلمى.,"""After my passion for drawing became apparent to mom and dad, they encouraged me so much."""
كل كتاب او روايه بقراها بياثر فيا، و كمان بيشكل جزء من شخصيتى و طريقة تفكيرى.,They bought me color pencils and paper to draw on.
يعنى من الاخر، القرايه فتحت مخى، و نورت روحي، و زودت ثقافتى، و علمتنى كتيرعن العالم، و عن نفسى.,And they’d say “well done” to me whenever I drew anything.
انا من محافظة اسكندريه، او زى ما بيسموها عاصمة مصر التانيه و عروسة البحر المتوسط.,"""I grew up, and my hobby of drawing grew with me."""
و كمان اسكندريه متسميه على اسم الاسكندر الاكبر، و طبعا كلنا عارفينه و سمعنا عنه.,"""I wanted to improve my drawing skills, so I drew more often for practice."""
بحب اتمشى فى البلد.,"""And indeed, my drawing skills improved so much."""
بحس انى مثلا فى ايطاليا.,"""To be honest, I was very happy because my hard work paid off."""
يمكن ده عشان الرومان عاشوا فتره كبيره فيها، فا بتحس ريحتهم لسه موجوده فيها.,And I felt that anyone can really achieve anything as long as he has hope and tries time after time without despair.
النهارده زرت مكان تحفه بجد و هو قلعة قايتبباي.,Let’s talk about my hobby of reading now.
قلعة قايبتباى من اهم اثارات اسكندريه القديمه اوى و موجوده كمان فى منطقه قديمه اوى اسمها بحري.,This hobby started a little later than my hobby of drawing.
اول ما قطعت التذكره و دخلت، شميت ريحة زمان و اتخيلت ايام المعارك.,It started when I was 11 years old.
حاجه كده تخطفك و تبهرك فى نفس الوقت.,"""Back then, I went to the school library to read tales and stories."""
القلعه مبنيه مكان فنار اسكندريه القديم.,"""But when I grew up, I started to read in more various fields."""
بناها السلطان الاشرف قايتباى من حوالي سبعميه سنه و اتكلفت وقتها مية الف دينار.,"""For example, I was reading scientific, historical, religious, and sometimes philosophy books."""
القلعه كمان معموله فى الاساس عشان تحمى اسكندريه من الهجوم اللى بييجى من ناحية البحر و عشان كده القلعه متحوطه بالبحر من تلات جهات.,I was reading detective novels and science fiction novels.
و كمان مليانه بالدهاليز و فتحات المراقبه و الرمايه اللى بتبص على البحر من جميع الجهات.,Every book or novel I read affects me and also shapes a part of my personality and my way of thinking.
بعدما خلصت زيارة القلعه، شفت كمان شوية سياح كانوا جايين يتفرجوا على القلعه و بيشتروا شوية حاجات تذكار.,"""To sum up, reading opened my mind, enlightened my soul, increased my knowledge, and it taught me a lot about the world, and about myself."""
و بعدين رحت على معرض الاسماك البحرى.,"""I am from Alexandria governorate, or, as it is called, the second capital of Egypt and the bride of the Mediterranean Sea, Also, Alexandria was named after Alexander the Great, who we all know or have heard about, surely."""
هو موجود فى نفس المكان.,I like walking in the city.
تذكرته حوالى بخمسه جنيه، هناك اتفرجت على اسماك اشكال والوان.,While walking I feel that I am practically in Italy.
خلصت زياره المعرض و كنت حاسس بالعطش و الحر الرهيب فا رحت ضارب واحد زبادى كبير من جيلاتى عزه.,"""That might be because the Romans lived in it a long time, so you feel their trace is still present in the city."""
جيلاتى عزه يعنى اسكندريه!,Today I visited a very wonderful place: the Citadel of Qaitbay.
بصراحه طعم الجيلاتى ملهوش حل.,"""The Citadel of Qaitbay is one of the most important ancient monuments in Alexandria, which is found in an ancient area called Bahri."""
حتى فكرت انى اخد كم علبه للجماعه عندى فى البيت.,"""Once I bought a ticket and went in, I felt a sense of ages past and imagined the battles."""
اسكندريه فعلا ماريه و قريب اوى ان شاء الله هحكيلكم على حته تانيه فيها و انا متاكد انها هتعجبكم.,Something grabs you and fascinates you at the same time.
هكلمكو النهارده عن شهرجميل جدا، شهر مميز دايماً للمصريين، مش للمصريين بس ده، للمسلمين عامتاً.,The castle was built in the place where the Lighthouse of Alexandria had been.
هكلمكو عن شهر رمضان بالرغم من الناس لا بتاكل ولا بتشرب من الفجر لحد المغرب الا ان الناس بتبقى نشيطه وبتقدر تشتغل و تكمل شغلها.,It was built by Sultan al-Ashraf Qaitbay about 700 years ago.
هحكلكو فى الاول ازاى الناس بتستعد لرمضان.,And it cost one hundred thousand dinars [to build it] back then.
كل الناس بيبقى ليها استعداد لرمضان زى الاطفال بيجيبوا فانوييس رمضان بيحتفلوا بيها.,"""Essentially, the castle was built to protect Alexandria from sea attacks."""
و بيشتروا زينه رمضان و يعلقوها فى الشوارع علشان شكل الشارع بيبقى جميل.,That’s why the castle is surrounded by the sea on three sides.
و فيه ناس بتشترى ياميش رمضان زى البلح و المشمشيه و الزبيب و حاجات تانيه.,And it’s full of passageways and slots for surveillance and shooting that look over the sea from all sides.
هحكيلكو بقى عن ازاى بنقضى يوم فى رمضان من اول لما بصحى لحد لما نتسحر.,"""After visiting the castle, I saw some tourists coming to look at the castle and buy some souvenirs."""
اول لما بصحى من النوم بتوضا و اصلى و اقرا قران.,"""And then, I went to the marine fish exhibition."""
بعد كدا انزل اشوف امى عاوزا حاجه من تحت و انزل اشتريها .,"""It’s located in the same place, The ticket cost about five pounds."""
بعد كدا لما ارجع البيت، ممكن العب مع اخويا او العب على الكمبيوتر لحد لما المغرب ياذن.,There I saw fish of all different shapes and colors.
بعد كدا بنفطر و بنشرب عصاير كتيره زى البلح والتمر والسوبيا.,"""After visiting the gallery, I felt thirsty and terribly hot, so I went and got a large ice cream at Ice Cream Azza."""
و فيه عصاير مشهوره تانيه فى رمضان.,Ice Cream Azza is [a significant shop in] Alexandria!
و بناكل اكل جميل.,"""Frankly, the ice cream tastes very nice."""
دايما الاكل فى رمضان بيبقا مختلف عن اى شهر تانى.,"""I even thought to buy another cup for my wife, who was at home."""
و بعد كدا لما نخلص الاكل و نصلى بنزل مع اصحابى نخرج او نلعب بنج بونج او بلاى ستييشن.,"""Really, Alexandria is Godly land."""
او نتمشى و نشرب عصير او ناكل ايس كريم او حلويات زى الكنافه او القطايف.,"""Very soon, God willing, I will tell you about other interesting places, which I am sure you will like."""
